acquisition_date;acquisition_type;acquired_company;acquired_company_domain;acquirer;acquisition_price_usd;is_key_acquisition;founded_year;company_details_overview;disclosed;industry;acquisition_year;matured;acquisition_price_usd_billions;acquired_company_size;city;state_province_region;country
2005-03-28;Business Acquisition;SunGard;sungard.com;Berkshire Hathaway;11400000000.0;True;1982;Enterprise Software;1;Technology & Software;2005;True;11.4;Large;Wayne; Pennsylvania; United States
2005-01-07;Business Acquisition;Vastera;vastera.com;JPMorgan Chase;129000000.0;True;1992;Limited information available;1;Trade & Supply Chain Management;2005;True;0.13;Medium;Dulles; Virginia; United States
2004-09-17;Business Acquisition;Cooper Standard;cooperstandard.com;Berkshire Hathaway;11700000000.0;True;1960;Supplier of systems & components for the automotive industry;1;Automotive & Transportation;2004;True;11.7;Large;Novi; Michigan; United States
2003-09-04;Business Acquisition;Nalco;nalco.com;Berkshire Hathaway;4200000000.0;True;1928;Provider of water treatment solution;1;Chemical Manufacturing;2003;True;4.2;Large;Naperville; Illinois; United States
2003-05-02;Business Acquisition;McClain Trucking Company;mclaneco.com;Berkshire Hathaway;1500000000.0;True;1996;Supply chain services for food and grocery businesses;1;Automotive & Transportation;2003;False;1.5;Large;Temple; Texas; United States
2003-04-01;Business Acquisition;Clayton Homes;claytonhomes.com;Berkshire Hathaway;1700000000.0;True;1956;Provider of residential buildings for buy & rents;1;Housing & Real Estate;2003;True;1.7;Large;Knoxville; Tennessee; United States
2002-08-19;Business Acquisition;Chore Time Brocks;ctbinc.com;Berkshire Hathaway;180000000.0;True;1952;Manufactures and supplies agriculture equipment;1;Agriculture & Farming Equipment;2002;True;0.18;Medium;Van Buren; Indiana; United States
2002-07-25;Business Acquisition;Burger King;bk.com;Berkshire Hathaway;1500000000.0;True;1954;Chain of restaurant serving burger;1;Food & Beverage;2002;True;1.5;Large;Miami; Florida; United States
2001-07-31;Business Acquisition;XTRA Lease;xtralease.com;Berkshire Hathaway;590000000.0;True;1992;Trailer rental services provider;1;Automotive & Transportation;2001;False;0.59;Large;St. Louis; Missouri; United States
2001-06-12;Business Acquisition;MiTek Industries;mii.com;Berkshire Hathaway;379000000.0;True;1955;Supplier of products & services for real estate industry;1;Building & Materials;2001;True;0.38;Medium;Chesterfield; Missouri; United States
2001-02-23;Business Acquisition;Johns Manville;jm.com;Berkshire Hathaway;1960000000.0;True;1858;Manufacture of insulation, commercial roofing, fibers, and other construction products;1;Building & Materials;2001;True;1.96;Large;Denver; Colorado; United States
2000-09-11;Business Acquisition;SLK;slk.com;Goldman Sachs;6500000000.0;True;1994;Limited information available;1;Financial Services;2000;False;6.5;Large;London; England; United Kingdom
1998-07-13;Business Acquisition;NetJets;netjets.com;Berkshire Hathaway;725000000.0;True;1964;Online broker of private jet charters;1;Aerospace & Aviation;1998;True;0.72;Large;Columbus; Ohio; United States
1998-06-19;Business Acquisition;Gen Re;genre.com;Berkshire Hathaway;22000000000.0;True;1846;Life/health and property reinsurer;1;Reinsurance;1998;True;22.0;Large;Stamford; Connecticut; United States
1997-10-22;Business Acquisition;DQ;dairyqueen.com;Berkshire Hathaway;585000000.0;True;1940;Chain of limited service restaurant offering ice-creams;1;Food & Beverage;1997;True;0.58;Large;Bloomington; Minnesota; United States
1996-10-15;Business Acquisition;FlightSafety;flightsafety.com;Berkshire Hathaway;1500000000.0;True;1951;Flight safety training;1;Aerospace & Aviation;1996;True;1.5;Large;New York City; New York; United States
1995-08-25;Business Acquisition;GEICO;geico.com;Berkshire Hathaway;2300000000.0;True;1936;P&C Diversified insurance carrier;1;Insurance;1995;True;2.3;Large;Tucson; Arizona; United States
1990-01-01;Business Acquisition;H.H. Brown;hhbrown.com;Berkshire Hathaway;161000000.0;True;1883;Manufacturer of footwear;1;Footwear & Apparel;1990;True;0.16;Medium;Greenwich; Connecticut; United States
1986-01-01;Business Acquisition;Scott Fetzer;scottfetzer.com;Berkshire Hathaway;320000000.0;True;1917;Manufacturer & marketer of equipments for the home & industry;1;Manufacturing;1986;True;0.32;Medium;Westlake; Ohio; United States
2002-01-01;Business Acquisition;Unison Site Management;unisonsite.com;Goldman Sachs;257000000.0;True;2002;Cell site management & leasing services provider;1;Telecommunications;2002;False;0.26;Medium;New York City; New York; United States
